,name,strategy,score,parameters
0,xgboost,boosting,0.8185044118580589,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 300}"
1,lightgbm,boosting,0.8173871643496478,"{'model__learning_rate': 0.03, 'model__max_depth': -1, 'model__n_estimators': 100}"
2,catboost,boosting,0.8173490763664063,"{'model__depth': 4, 'model__iterations': 500, 'model__learning_rate': 0.1}"
3,decision_tree,tree,0.8151145813495843,"{'model__max_depth': 3, 'model__min_samples_split': 2}"
4,elastic_net,linear,0.8106519393131467,"{'model__C': 1.0, 'model__l1_ratio': 0.25}"
5,logistic_l1,linear,0.8106519393131467,{'model__C': 10.0}
6,logistic_none,linear,0.8095219958103218,{}
7,logistic_l2,linear,0.8095219958103218,{'model__C': 1.0}
8,random_forest,tree,0.8049450898241606,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
9,knn,distance,0.7903002602678855,"{'model__n_neighbors': 7, 'model__weights': 'uniform'}"
